#mpa_vJun23_CHOCOPhlAnSGB_202307
clade_name	clean_SRR28210342_metaphlan	clean_SRR28210343_metaphlan	clean_SRR28210344_metaphlan	clean_SRR28210345_metaphlan	clean_SRR28210346_metaphlan	clean_SRR28210347_metaphlan	clean_SRR28210348_metaphlan	clean_SRR28210349_metaphlan	clean_SRR28210350_metaphlan	clean_SRR28210351_metaphlan	clean_SRR28210352_metaphlan	clean_SRR28210353_metaphlan	clean_SRR28210354_metaphlan	clean_SRR28210355_metaphlan	clean_SRR28210356_metaphlan	clean_SRR28210357_metaphlan	clean_SRR28210358_metaphlan	clean_SRR28210359_metaphlan	clean_SRR28210360_metaphlan	clean_SRR28210361_metaphlan	clean_SRR28210362_metaphlan	clean_SRR28210363_metaphlan	clean_SRR28210364_metaphlan	clean_SRR28210365_metaphlan	clean_SRR28210366_metaphlan	clean_SRR28210367_metaphlan	clean_SRR28210368_metaphlan	clean_SRR28210369_metaphlan	clean_SRR28210370_metaphlan	clean_SRR28210371_metaphlan	clean_SRR28210372_metaphlan	clean_SRR28210373_metaphlan	clean_SRR28210374_metaphlan	clean_SRR28210375_metaphlan	clean_SRR28210376_metaphlan	clean_SRR28210377_metaphlan	clean_SRR28210378_metaphlan	clean_SRR28210379_metaphlan	clean_SRR28210380_metaphlan	clean_SRR28210381_metaphlan
k__Bacteria|p__Firmicutes|c__CFGB9989	0.37763	0.27702	0.0	0.0	0.03259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642	0.30083	0.05389	0.0	0.0	0.0496	0.0	0.0	0.00239	0.08672	0.0	0.0	0.1323	0.0	0.0	0.0	0.0	0.0	0.0	0.00218	0.14881	0.0	0.0	0.0	0.00148	0.0	0.42311	0.00082	0.0	0.0	0.0	0.23922	0.0	0.04053	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.26842	0.05892	0.37086	1.37883	4.99945	3.33203	0.0191	0.95127	0.10818	0.24971	0.52076	0.25285	26.6945	0.01243	0.23078	0.34833	0.47649	0.18967	0.03764	0.10375	0.23106	5.59414	0.3019	0.66471	0.72791	0.33844	0.58071	1.83903	2.39779	0.0	0.00325	0.2181	0.58509	0.17274	0.42537	0.03034	2.67332	1.75784	0.49616	0.09905
k__Bacteria|p__Firmicutes|c__CFGB75721	0.23072	0.0	0.0	0.0	0.02266	0.0	0.0	0.0	0.0	0.0	0.0	0.23955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2890	0.22468	0.07501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00251	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.18941	0.21608	0.055	2.1161	0.45893	0.09993	0.53681	0.00681	0.12476	0.11651	0.85948	0.34475	0.49194	0.21328	0.04319	0.01747	0.19649	0.3756	0.55222	0.1476	0.12315	0.00489	0.13005	0.16868	0.15798	0.101	0.20472	0.1754	0.12624	0.09476	0.00398	0.31319	0.41056	1.13461	0.57163	1.15508	0.0041	0.51317	0.51995	1.28447
k__Bacteria|p__Firmicutes|c__Bacilli	0.14507	0.08789	0.09616	0.26439	0.73135	0.84788	0.09302	0.40106	0.34253	0.05548	1.43087	1.50092	0.15393	4.53758	4.20376	0.23825	0.18207	0.69992	1.44976	1.02706	2.14062	3.56034	0.43379	0.48041	14.17284	0.34745	0.42316	0.38531	2.07789	3.33454	0.08151	0.71842	0.00689	0.02302	3.65916	0.20611	1.26363	1.42786	0.20284	6.75625
k__Bacteria|p__Firmicutes|c__CFGB3072	0.08462	0.01496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32738	0.0	0.0	0.0	0.0	0.00327	0.0003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00258	0.0	0.00152	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2982	0.0845	0.10158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17502	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB45503	0.08058	0.0525	0.0	0.0	0.0	0.0	0.0	0.06987	0.0	0.0	0.0	0.01947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB667	0.0597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06491	0.0
k__Bacteria|p__Firmicutes|c__CFGB16911	0.05491	0.05578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3048	0.04216	0.07258	0.01535	0.00474	0.0933	0.0	0.0	0.11933	0.02699	0.0	0.0127	0.01373	0.0	0.0	0.0	0.0	0.02891	0.0	0.0534	0.0	0.0	0.0	0.08919	0.0	0.0	0.01106	0.00165	0.20057	0.0	0.0	0.0066	0.05699	0.01342	0.0	0.0	0.01301	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3038	0.03624	0.0263	0.00176	0.0	0.0108	0.0	0.0	0.0	0.0	0.0	0.0	0.18185	0.0	0.0	0.0	0.0	0.00339	0.0	0.0	0.02348	0.0	0.0	0.0072	0.01069	0.0	0.04704	0.0	0.0	0.0	0.0	0.00083	0.01585	0.02174	0.0	0.01464	0.0	0.0	0.0	3.52716	0.0
k__Bacteria|p__Firmicutes|c__CFGB2915	0.0324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__CFGB77988	0.02721	0.00297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7e-05	0.0	0.0	0.0	0.0	0.08048	0.07454	0.0	0.0	0.0	0.0	0.0	0.0	0.01305	0.0	0.0	0.0	0.0	0.0	0.0026	0.0
k__Bacteria|p__Firmicutes|c__CFGB79291	0.02653	0.00512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1374	0.02619	0.0	0.0	0.00052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014	0.0	0.00514	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3023	0.02231	0.05362	0.0	0.0	0.01661	0.0	0.0	0.0	0.0	0.0	0.00919	0.01666	0.0	0.0	0.0	0.0	0.00519	0.0	0.0	0.01498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04793	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB15212	0.02087	0.00817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00492	0.0	0.0	0.0	0.0	0.003	0.0	0.0289	0.0	0.02463	0.0	0.05562	0.0	0.0	0.0	0.02293	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.01921	0.0	0.0522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41087	0.06636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21872	0.01369	0.0	0.05431	0.0	0.81045	0.14888	0.0	0.0	0.96806	0.0	0.01284	0.0	0.0	0.00694	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1226	0.01456	0.03731	0.01172	0.00733	0.03163	0.0	0.0	0.0	0.00147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04026	0.0	0.02874	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1011	0.01279	0.00203	0.18855	0.0	0.02158	0.0	0.0	0.01545	0.0	0.0	0.00581	0.0	0.0	0.0	0.0	0.0	0.0	0.00324	0.0	0.02697	0.0	0.0	0.0	0.00381	0.0	0.00533	0.00594	0.0	0.0	0.0	0.00213	0.01706	0.01726	0.0	0.0	0.0	0.0	0.0	0.03616	0.0
k__Bacteria|p__Firmicutes|c__CFGB1126	0.01224	3e-05	0.00211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00236	0.0	0.0	0.0	0.0	0.0	0.01219	0.0
k__Bacteria|p__Firmicutes|c__CFGB1359	0.01217	0.02021	0.0	0.00023	0.03212	0.00639	0.0	0.09643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0421	0.01929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00527	0.0	0.0	0.0	0.0	0.00429	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2917	0.00859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9491	0.0077	0.01108	0.01765	0.00518	0.0	0.00208	0.0	0.00913	0.00238	0.0	0.00967	0.0	0.0	0.0	0.001	0.0	0.00804	0.0	0.00024	0.02148	0.0	0.0	0.00358	0.01054	0.0	0.0	0.00387	0.01431	0.0	0.00655	0.0	0.01003	0.00337	0.0037	0.01098	0.0	0.0	0.0	0.007	0.0
k__Bacteria|p__Firmicutes|c__CFGB3047	0.00607	0.01898	0.02173	3e-05	0.0	0.0	0.0	0.00612	0.00806	0.0	0.00672	0.0	0.0	0.0	0.0	0.0	0.0	0.01161	0.004	0.00479	0.0	0.0	0.0	0.00908	0.0	0.00461	0.0	0.05018	0.0	0.0	0.00623	0.0	0.02327	0.00458	0.00098	0.02039	0.0	0.0	0.04699	0.0
